timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691732213360,1095,HTTP Request,200,OK,Thread Group 1-23,text,true,,62938,119,21,21,https://www.dhakasnob.com/,285,0,0
1691732212616,1930,HTTP Request,200,OK,Thread Group 1-30,text,true,,62961,119,21,21,https://www.dhakasnob.com/,1132,0,546
1691732211593,2968,HTTP Request,200,OK,Thread Group 1-24,text,true,,62961,119,21,21,https://www.dhakasnob.com/,2160,0,1585
1691732213246,1347,HTTP Request,200,OK,Thread Group 1-21,text,true,,62938,119,21,21,https://www.dhakasnob.com/,550,0,0
1691732212786,1905,HTTP Request,200,OK,Thread Group 1-31,text,true,,62961,119,21,21,https://www.dhakasnob.com/,1102,0,546
1691732213687,1108,HTTP Request,200,OK,Thread Group 1-25,text,true,,62938,119,21,21,https://www.dhakasnob.com/,302,0,0
1691732212960,1882,HTTP Request,200,OK,Thread Group 1-32,text,true,,62961,119,21,21,https://www.dhakasnob.com/,1098,0,535
1691732213825,1070,HTTP Request,200,OK,Thread Group 1-26,text,true,,62938,119,21,21,https://www.dhakasnob.com/,286,0,0
1691732213631,1367,HTTP Request,200,OK,Thread Group 1-16,text,true,,62938,119,20,20,https://www.dhakasnob.com/,559,0,0
1691732213128,1929,HTTP Request,200,OK,Thread Group 1-33,text,true,,62961,119,20,20,https://www.dhakasnob.com/,1132,0,547
1691732214023,1084,HTTP Request,200,OK,Thread Group 1-27,text,true,,62938,119,20,20,https://www.dhakasnob.com/,285,0,0
1691732214155,1082,HTTP Request,200,OK,Thread Group 1-28,text,true,,62938,119,20,20,https://www.dhakasnob.com/,300,0,0
1691732213301,1959,HTTP Request,200,OK,Thread Group 1-34,text,true,,62961,119,19,19,https://www.dhakasnob.com/,1148,0,553
1691732213471,1899,HTTP Request,200,OK,Thread Group 1-35,text,true,,62961,119,20,20,https://www.dhakasnob.com/,1112,0,536
1691732214418,1096,HTTP Request,200,OK,Thread Group 1-29,text,true,,62938,119,20,20,https://www.dhakasnob.com/,288,0,0
1691732213642,1941,HTTP Request,200,OK,Thread Group 1-36,text,true,,62961,119,20,20,https://www.dhakasnob.com/,1130,0,555
1691732214243,1375,HTTP Request,200,OK,Thread Group 1-22,text,true,,62938,119,20,20,https://www.dhakasnob.com/,566,0,0
1691732214546,1090,HTTP Request,200,OK,Thread Group 1-30,text,true,,62938,119,19,19,https://www.dhakasnob.com/,285,0,0
1691732214692,1080,HTTP Request,200,OK,Thread Group 1-31,text,true,,62938,119,19,19,https://www.dhakasnob.com/,282,0,0
1691732214844,1061,HTTP Request,200,OK,Thread Group 1-32,text,true,,62938,119,19,19,https://www.dhakasnob.com/,536,0,0
1691732213985,1923,HTTP Request,200,OK,Thread Group 1-38,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1121,0,553
1691732214561,1364,HTTP Request,200,OK,Thread Group 1-24,text,true,,62938,119,18,18,https://www.dhakasnob.com/,555,0,0
1691732213813,2181,HTTP Request,200,OK,Thread Group 1-37,text,true,,62961,119,17,17,https://www.dhakasnob.com/,1604,0,538
1691732214156,1944,HTTP Request,200,OK,Thread Group 1-39,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1139,0,553
1691732215058,1114,HTTP Request,200,OK,Thread Group 1-33,text,true,,62938,119,18,18,https://www.dhakasnob.com/,316,0,0
1691732215261,1097,HTTP Request,200,OK,Thread Group 1-34,text,true,,62938,119,18,18,https://www.dhakasnob.com/,556,0,0
1691732215371,1060,HTTP Request,200,OK,Thread Group 1-35,text,true,,62938,119,18,18,https://www.dhakasnob.com/,278,0,0
1691732214494,1952,HTTP Request,200,OK,Thread Group 1-41,text,true,,62961,119,17,17,https://www.dhakasnob.com/,1145,0,555
1691732214666,1889,HTTP Request,200,OK,Thread Group 1-42,text,true,,62961,119,18,18,https://www.dhakasnob.com/,1105,0,539
1691732215583,1097,HTTP Request,200,OK,Thread Group 1-36,text,true,,62938,119,18,18,https://www.dhakasnob.com/,287,0,0
